begin,end
7.5,26.0
32.25,50.0
55.5,76.5
76.75,105.5
112.0,132.75
136.0,147.0
147.5,176.0
176.75,202.75
205.0,234.5
236.25,263.5
265.5,276.25
281.5,342.25
343.5,358.25
359.25,381.75
383.5,399.5
401.75,431.25
431.5,449.25
450.75,462.0
464.0,524.0
525.5,538.25
541.75,550.75
564.5,624.5
630.5,641.0
646.75,684.75
686.75,713.0
718.25,744.25
751.25,760.5
764.0,793.25
796.5,813.75
815.25,844.0
846.75,878.75
881.5,942.75
943.75,964.0
969.75,990.25
994.5,1024.25
1025.75,1089.5
1091.25,1113.0
1115.25,1146.25
1149.25,1175.0
1177.25,1199.5
1201.75,1214.5
1216.5,1238.25
1240.25,1263.75
1267.5,1294.0
1295.0,1311.5
1312.75,1331.75
1338.25,1350.5
1359.5,1392.5
1400.75,1444.25
1445.5,1466.5
1468.25,1530.25
1532.0,1557.75
1559.25,1573.5
1575.75,1590.75
1594.25,1599.0
1607.25,1617.5
1619.25,1655.25
1658.5,1670.25
1673.25,1722.25
1730.0,1753.75
1758.25,1768.75
1769.75,1793.5
1794.75,1819.5
1820.0,1852.25
1854.25,1898.0
1900.75,1926.75
1928.75,1946.5
1948.75,1959.5
1963.0,1975.0
1979.5,2011.25
2012.5,2039.75
2041.5,2060.75
2062.0,2079.25
2081.25,2097.5
2101.5,2112.0
2113.5,2123.5
2126.25,2137.0
2151.75,2177.25
2181.0,2199.5
2206.5,2234.0
2259.5,2266.0
2275.0,2305.5
2312.0,2337.25
2338.5,2368.5
2373.0,2432.0
2439.75,2456.0
2460.75,2523.75
2524.75,2538.75
2540.0,2593.5
2606.75,2625.5
2632.75,2653.0
2657.0,2667.0
2668.75,2706.0
2706.5,2726.75
2730.25,2771.5
2773.0,2797.0
2803.75,2820.5
2826.0,2833.0
2834.75,2854.25
2857.0,2902.75
2912.75,2926.5
2930.25,2947.0
2957.25,2984.0
2990.25,3050.5
3051.25,3095.25
3097.75,3130.25
3132.25,3158.75
3159.5,3179.0
3183.5,3194.25
3202.0,3209.5
3222.0,3244.5
3248.75,3270.5
3272.0,3297.5
3299.0,3303.25
3307.75,3320.0
3324.5,3355.75
3358.75,3365.25
3369.0,3383.0
3391.0,3412.5
3442.75,3450.25
3460.5,3490.5
3499.0,3525.25
3537.5,3585.5
3588.0,3613.0
3620.5,3658.75
3662.25,3684.25
3711.5,3746.75
3751.0,3763.75
3765.25,3777.75
3796.0,3829.25
3844.75,3921.75
3930.0,3953.25
3966.0,4008.0
4014.25,4035.5
4049.75,4075.25
4081.0,4089.25
4098.0,4108.0
4110.5,4118.0
4129.0,4144.75
4147.5,4190.25
