time,text
0:05:57.75,Prince Syuvi Ill has been slain by unnamed marble
0:05:59.25,Prince Syuvi II has been slain by unnamed marble
0:06:0.0,Prince Syuvi III has been slain by unnamed marble
0:06:0.25,Prince Syuvi II has been slain by unnamed marble
0:06:0.5,Prince Syuvi III has been slain by unnamed marble
0:06:1.0,Prince Syuvi Ill has been slain by unnamed marble
0:06:23.5,aa (0) 10
0:06:23.5,lits have spawned. Destroy them to receive a
0:06:23.5,lits have spawned. Destroy them to receive a reward.
0:06:23.75,JOMO Nas levered up!
0:06:23.75,lits have spawned. Destroy them to receive a reward.
0:06:24.0,Jomo Nas leveled up:
0:06:24.0,lits have spawned. Destroy them to receive a reward.
0:06:26.0,Jomo Nas leveled up:
0:06:26.0,lits have spawned. Destroy them to receive a reward.
0:06:28.0,Jomo Nas leveled up:
0:06:28.0,lits have spawned. Destroy them to receive a reward.
0:06:28.25,yomo Nas leveled up!
0:06:28.25,lits have spawned. Destroy them to receive a reward.
0:06:28.5,yomo Nas leveled up!
0:06:28.5,lits have spawned. Destroy them to receive a reward.
0:06:28.75,yomo Nas leveled up!
0:06:28.75,lits have spawned. Destroy them to receive a reward.
0:06:29.0,yomo Nas leveled up!
0:06:29.0,lits have spawned. Destroy them to receive a reward.
0:06:29.25,eS er
0:06:29.25,lits have spawned. Destroy them to receive a reward.
0:06:29.5,lits Teal have has spawned. been Destroy granted them an to upgrade. receive a reward.
0:06:29.5,lits have spawned. Destroy them to receive a reward.
0:06:29.75,Teal has been granted an upgrade.
0:06:30.0,lits have spawned. Destroy them to receive a reward.
0:06:30.0,Teal has been granted an upgrade.
0:06:30.25,its nave spawned. Destroy them to receive a reward.
0:06:30.25,lits have spawned. Destroy them to receive a reward.
0:06:30.25,Teal has been granted an upgrade.
0:06:30.5,tS Nave spawned. them to receive a reward.
0:06:30.5,lits have spawned. Destroy them to receive a reward.
0:06:30.5,Teal has been granted an upgrade.
0:06:30.75,Nave spawned. Vestroy them to receive a reward.
0:06:30.75,lits have spawned. Destroy them to receive a reward.
0:06:30.75,Teal has been granted an upgrade.
0:06:31.0,Nave spawned. Vestroy them to receive a reward.
0:06:31.0,lits have spawned. Destroy them to receive a reward.
0:06:31.0,Teal has been granted an upgrade.
0:06:31.25,Nave spawned. Vestroy them to receive a rewald.
0:06:31.25,lits have spawned. Destroy them to receive a reward.
0:06:31.25,Teal has been granted an upgrade.
0:06:42.25,Teal received a Necromancer.
0:07:4.25,Yellow has been granted an upgrade.
0:07:44.25,Yellow received a Necromancer.
0:07:44.5,Yellow has been granted an upgrade.
0:07:44.5,Yellow received a Necromancer.
0:07:44.75,Yellow has been granted an upgrade.
0:07:44.75,Yellow received a Necromancer.
0:07:45.0,Yellow has been granted an upgrade.
0:07:45.0,Yellow received a Necromancer.
0:07:45.25,Yellow has been granted an upgrade.
0:07:45.25,Yellow received a Necromancer.
0:07:45.5,Yellow has been granted an upgrade.
0:07:45.5,Yellow received a Necromancer.
0:07:45.75,Yellow has been granted an upgrade.
0:07:45.75,Yellow received a Necromancer.
0:07:46.0,Yellow has been granted an upgrade.
0:07:46.0,Yellow received a Necromancer.
0:07:46.25,Yellow has been granted an upgrade.
0:07:46.25,Yellow received a Necromancer.
0:08:0.5,Prince Fliqeo ha
0:08:0.75,Naufal has leveled up!
0:08:0.75,Prince Eugeo has been slain by Naufal
0:08:1.0,Naufal has leveled up!
0:08:1.0,Prince Eugeo has been slain by Naufal
0:08:1.25,Naufal has leveled up!
0:08:1.25,Prince Eugeo has been slain by Naufal
0:08:1.5,Naufal has leveled up!
0:08:1.5,Prince Eugeo has been slain by Naufal
0:08:1.75,Naufal has leveled up!
0:08:1.75,Prince Eugeo has been slain by Naufal
0:08:2.0,Naufal has leveled up!
0:08:2.0,Prince Eugeo has been slain by Naufal
0:08:4.0,Naufal has leveled up!
0:08:4.0,Prince Eugeo has been slain by Naufal
0:08:4.25,Naufal has leveled up!
0:08:4.25,Prince Eugeo has been slain by Naufal
0:08:4.5,Naufal has leveled up!
0:08:4.5,Prince Eugeo has been slain by Naufal
0:08:4.75,Naufal has leveled up!
0:08:4.75,Prince Eugeo has been slain by Naufal
0:08:5.0,Naufal has leveled up!
0:08:5.0,Prince Eugeo has been slain by Naufal
0:08:5.25,Nautal | Nas | leveled up!
0:08:5.25,Prince Cantain Eugeo Mrtheald has hac been hase slain by as Naufal leveled un!
0:08:5.5,JPMMXIV has leveled up!
0:08:5.5,Captain Mrtheald has been slain by King JPMMXIV
0:08:5.75,Prince JPMMXIV Eugeo has has leveled been up! slain by Naufal
0:08:5.75,Captain Mrtheald has been slain by King JPMMXIV
0:08:6.0,Prince Eugeo has been slain by Naufal
0:08:6.0,JPMMXIV has leveled up!
0:08:6.0,Captain Mrtheald has been slain by King JPMMXIV
0:08:6.25,Prince Eugeo has been slain by Nautal
0:08:6.25,JPMMXIV has leveled up!
0:08:6.25,Captain Mrtheald has been slain by King JPMMXIV
0:08:6.5,Prince Eugeo nas been slain by Nautal
0:08:6.5,JPMMXIV has leveled up!
0:08:6.5,Captain Mrtheald has been slain by King JPMMXIV
0:08:6.75,Prince Nas been Slain by Nautal
0:08:6.75,JPMMXIV has leveled up!
0:08:6.75,Captain Mrtheald has been slain by King JPMMXIV
0:08:7.0,Prince CUGEeO Nas been Slain by Nautal
0:08:7.0,JPMMXIV has leveled up!
0:08:7.0,Captain Mrtheald has been slain by King JPMMXIV
0:08:7.25,Frince Nas been slain by Nautal
0:08:7.25,JPMMXIV has leveled up!
0:08:7.25,Captain Mrtheald has been slain by King JPMMXIV
0:08:7.5,Frince Nas been slain by Nautal
0:08:7.5,JPMMXIV has leveled up!
0:08:7.5,Captain Mrtheald has been slain by King JPMMXIV
0:08:7.75,Frince Nas been slain by Nautal
0:08:7.75,JPMMXIV has leveled up!
0:08:7.75,Captain Mrtheald has been slain by King JPMMXIV
0:08:8.0,Frince Nas been slain by Nautal
0:08:8.0,JPMMXIV has leveled up!
0:08:8.0,Captain Mrtheald has been slain by King JPMMXIV
0:08:8.25,Frince Nas been slain by Nautal
0:08:8.25,JPMMXIV has leveled up!
0:08:8.25,Captain Mrtheald has been slain by King JPMMXIV
0:08:8.5,Frince Nas been slain by
0:08:8.5,JPMMXIV has leveled up!
0:08:8.5,Captain Mrtheald has been slain by King JPMMXIV
0:08:8.75,Frince Cugeo Nas been slain by Nautal
0:08:8.75,JPMMXIV has leveled up!
0:08:8.75,Captain Mrtheald has been slain by King JPMMXIV
0:08:9.0,Frince Nas been slain by Nautal
0:08:9.0,JPMMXIV has leveled up!
0:08:9.0,Captain Mrtheald has been slain by King JPMMXIV
0:08:9.25,Frince Nas been slain by Nautal
0:08:9.25,JPMMXIV has leveled up!
0:08:9.25,Captain Mrtheald has been slain by King JPMMXIV
0:08:9.5,Prince CUGEO Nas been Slain by Nautal
0:08:9.5,JPMMXIV has leveled up!
0:08:9.5,Captain Mrtheald has been slain by King JPMMXIV
0:08:9.75,Frince CUgeO Nas Deen Slain by
0:08:9.75,JPMMXIV has leveled up!
0:08:9.75,Captain Mrtheald has been slain by King JPMMXIV
0:08:10.0,JPMMXIV has leveled up!
0:08:10.0,Captain Mrtheald has been slain by King JPMMXIV
0:08:12.0,JPMMXIV has leveled up!
0:08:12.0,Captain Mrtheald has been slain by King JPMMXIV
0:08:14.0,JPMMXIV has leveled up!
0:08:14.0,Captain Mrtheald has been slain by King JPMMXIV
0:08:29.5,Naufal has been slain by unnamed marble
0:08:33.75,Naufal   has been slain en) by unnamed 4 marble
0:08:34.0,Naufal has been slain by unnamed marble
0:08:34.0,King JPMMXIV has been slain by unnamed marble
0:08:34.25,Naufal has been slain by unnamed marble
0:08:34.25,King JPMMXIV has been slain by unnamed marble
0:08:34.5,Naufal has been slain by unnamed marble
0:08:34.5,King JPMMXIV has been slain by unnamed marble
0:08:34.75,King Qbstagoon JPMMXIV V has has been been slain crowned by King! unnamed marble
0:08:34.75,Obstaggon V has been crowned King!
0:08:34.75,Yellow has been granted an upgrade.
0:08:35.0,Obstagoon V has been crowned King!
0:08:35.0,Yellow has been granted an upgrade.
0:08:35.25,Obstagoon V has been crowned King!
0:08:35.25,Yellow has been granted an upgrade.
0:08:35.5,Obstagoon V has been crowned King!
0:08:35.5,Yellow has been granted an upgrade.
0:08:35.75,Obstagoon V nas been crowned King!
0:08:35.75,Obstagoon V has been crowned King!
0:08:35.75,Yellow has been granted an upgrade.
0:08:36.0,Obstagoon V Nas been crowned King:
0:08:36.0,Obstagoon V has been crowned King!
0:08:36.0,Yellow has been granted an upgrade.
0:08:36.25,Obstagoon V Nas been crowned King:
0:08:36.25,Obstagoon V has been crowned King!
0:08:36.25,Yellow has been granted an upgrade.
0:08:36.5,Obstagoon V Nas been crowned King:
0:08:36.5,Obstagoon V has been crowned King!
0:08:36.5,Yellow has been granted an upgrade.
0:08:36.75,Opbstagoon V Nas been crowned King:
0:08:36.75,Obstagoon V has been crowned King!
0:08:36.75,Yellow has been granted an upgrade.
0:08:37.0,Opbstagoon V Nas been crowned King:
0:08:37.0,Obstagoon V has been crowned King!
0:08:37.0,Yellow has been granted an upgrade.
0:08:37.25,V Nas been crowned King:
0:08:37.25,Obstagoon V has been crowned King!
0:08:37.25,Yellow has been granted an upgrade.
0:08:37.5,Opbstagoon V Nas been crowned King:
0:08:37.5,Obstagoon V has been crowned King!
0:08:37.5,Yellow has been granted an upgrade.
0:08:37.75,Opbstagoon V Nas been crowned King:
0:08:37.75,Obstagoon V has been crowned King!
0:08:37.75,Yellow has been granted an upgrade.
0:08:38.0,Opstagoon V Nas been crowned King:
0:08:38.0,Obstagoon V has been crowned King!
0:08:38.0,Yellow has been granted an upgrade.
0:08:38.25,Opstagoon V Nas been crowned King:
0:08:38.25,Obstagoon V has been crowned King!
0:08:38.25,Yellow has been granted an upgrade.
0:08:38.5,Opbstagoon V Nas been crowned King:
0:08:38.5,Obstagoon V has been crowned King!
0:08:38.5,Yellow has been granted an upgrade.
0:08:38.75,Obstagoon V Nas been crowned King:
0:08:38.75,Obstagoon V has been crowned King!
0:08:38.75,Yellow has been granted an upgrade.
0:08:39.0,Obstagoon V Nas been crowned King:
0:08:39.0,Obstagoon V has been crowned King!
0:08:39.0,Yellow has been granted an upgrade.
0:08:39.25,Obstagoon V Nas been crowned King:
0:08:39.25,Obstagoon V has been crowned King!
0:08:39.25,Yellow has been granted an upgrade.
0:08:39.5,Obstagoon V Nas been crowned King:
0:08:39.5,Obstagoon V has been crowned King!
0:08:39.5,Yellow has been granted an upgrade.
0:08:39.75,Obstagoon V Nas been crowned King:
0:08:39.75,Obstagoon V has been crowned King!
0:08:39.75,Yellow has been granted an upgrade.
0:08:40.0,Obstagoon V Nas been crowned King:
0:08:40.0,Obstagoon V has been crowned King!
0:08:40.0,Yellow has been granted an upgrade.
0:08:40.25,V Nas been crowned King:
0:08:40.25,Obstagoon V has been crowned King!
0:08:40.25,Yellow has been granted an upgrade.
0:08:40.5,V Nas been crowned King:
0:08:40.5,Obstagoon V has been crowned King!
0:08:40.5,Yellow has been granted an upgrade.
0:08:40.75,V Nas been crowned King:
0:08:40.75,Obstagoon V has been crowned King!
0:08:40.75,Yellow has been granted an upgrade.
0:08:41.0,Obstagoon V Nas been crowned King:
0:08:41.0,Obstagoon V has been crowned King!
0:08:41.0,Yellow has been granted an upgrade.
0:08:41.25,Obstagoon V Nas been crowned King:
0:08:41.25,Obstagoon V has been crowned King!
0:08:41.25,Yellow has been granted an upgrade.
0:08:41.5,Obstagoon V Nas been crowned King:
0:08:41.5,Obstagoon V has been crowned King!
0:08:41.5,Yellow has been granted an upgrade.
0:08:41.75,V Nas been crowned King:
0:08:41.75,Obstagoon V has been crowned King!
0:08:41.75,Yellow has been granted an upgrade.
0:08:42.0,Opbstagoon V Nas been crowned King:
0:08:42.0,Obstagoon V has been crowned King!
0:08:42.0,Yellow has been granted an upgrade.
0:08:45.5,Yellow's king has become stronger.
0:08:51.0,Yellow's Thirn king hac has lavalad become stronger.
0:08:51.25,Yellow's king has become stronger.
0:08:51.25,Tyco has leveled up!
0:08:51.5,Yellow's king has become stronger.
0:08:51.5,Tyco has leveled up!
0:08:51.75,Yellow's king has become stronger.
0:08:51.75,Tyco has leveled up!
0:08:52.0,Yellow's king has become stronger.
0:08:52.0,Tyco has leveled up!
0:08:57.5,Tyco Tyrn has hac leveled haan up! clain hy \Alvidclnak
0:08:57.75,Tyco has leveled up!
0:08:57.75,Tyco has been slain by Prince Wyldcloak
0:08:58.0,Tyco has leveled up!
0:08:58.0,Tyco has been slain by Prince Wyldcloak
0:09:24.5,A Ell town has been destroyed!
0:09:24.75,A town has been destroyed!
0:10:30.5,All players receive an upgrade.
0:10:35.0,All Vallawi'ec players city receive will an cnaywin upgrade. an additinnal Rercearkear
0:10:35.25,All players receive an upgrade.
0:10:35.25,Yellow's city will an additional Berserker
0:10:35.5,All players receive an upgrade.
0:10:35.5,Yellow's city will spawn an additional Berserker
0:10:35.75,All players receive an upgrade.
0:10:35.75,Yellow's city will spawn an additional Berserker
0:10:36.0,All players receive an eee upgrade. a
0:10:36.0,Yellow's city will spawn an additional Berserker
0:10:36.25,All Teal players received receive a an Mage. upgrade.
0:10:36.25,Yellow's city will spawn an additional Berserker
0:10:36.5,Yellow's eae city Ss will eee spawn a an a additional ee Berserker ee
0:10:36.5,Teal received a Mage.
0:10:36.5,Rlie received a Mane
0:10:36.75,Yellow's city will spawn an additional Berserker
0:10:36.75,Teal received a Mage.
0:10:36.75,Blue received a Mage.
0:10:37.0,Yellow's city will spawn an additional Berserker
0:10:37.0,Teal received a Mage.
0:10:37.0,Blue received a Mage.
0:10:37.25,city will Spawn an Berserker
0:10:37.25,Teal received a Mage.
0:10:37.25,Blue received a Mage.
0:10:37.5,Yellows city will Spawn an adaitional berserker
0:10:37.5,Teal received a Mage.
0:10:37.5,Blue received a Mage.
0:10:37.75,ee a ee eee | ee ee ee a eee
0:10:37.75,Teal received a Mage.
0:10:37.75,Blue received a Mage.
0:10:38.0,Teal Orange's received city a will Mage. spawn an additional Berserker
0:10:38.0,Blue received a Mage.
0:10:38.25,ee Blue received ee a See Mage. ee
0:10:38.25,Orange's city will spawn an additional Berserker
0:10:38.25,Pink's citv will enawn an additional Rercerker
0:10:38.5,DIUS Pink's city a will soawn an additional Berserker
0:10:38.5,Orange's Read'c city city will will spawn cnawn an an additional additinnal Berserker Archer
0:10:38.75,Orange's city will spawn an additional Berserker
0:10:38.75,Pink's city will spawn an additional Berserker
0:10:38.75,Red's city will spawn an additional Archer.
0:10:39.0,Orange's city will spawn an additional Berserker
0:10:39.0,Pink's city will spawn an additional Berserker
0:10:39.0,Red's city will spawn an additional Archer.
0:10:39.25,Orange's city will spawn an additional Berserker
0:10:39.25,Pink's city will spawn an additional Berserker
0:10:39.25,Red's city will spawn an additional Archer.
0:10:39.5,Oranges city will spawn an adaitional berserker
0:10:39.5,Pink's city will spawn an additional Berserker
0:10:39.5,Red's city will spawn an additional Archer.
0:10:39.75,ee Pink's Diirnlo'ec   eee” city city   will will spawn er an an additional additinnal re Berserker Rercerker
0:10:39.75,Red's city will spawn an additional Archer.
0:10:40.0,Pink's city will spawn an additional Berserker
0:10:40.0,Red's city will spawn an additional Archer.
0:10:40.0,Purple's city will spawn an additional Berserker
0:10:46.75,S_City eli ISS
0:10:46.75,Green received a Kingsguard.
0:10:46.75,Cyan's city will spawn an additional Archer.
0:10:47.0,City WHT Spawn aly
0:10:47.0,Green received a Kingsguard.
0:10:47.0,Cyan's city will spawn an additional Archer.
0:10:47.25,Purples city WI Spawn an berserker
0:10:47.25,Green received a Kingsguard.
0:10:47.25,Cyan's city will spawn an additional Archer.
0:10:47.5,Furples city Spawn an aaaitional
0:10:47.5,Green received a Kingsguard.
0:10:47.5,Cyan's city will spawn an additional Archer.
0:10:47.75,Purples city WIT Spawn an aaaitional
0:10:47.75,Green received a Kingsguard.
0:10:47.75,Cyan's city will spawn an additional Archer.
0:10:48.0,Purples city will spawn an aaaitional berserker
0:10:48.0,Green received a Kingsguard.
0:10:48.0,Cyan's city will spawn an additional Archer.
0:10:48.25,Purples city Will spawn an aaaitional
0:10:48.25,Green received a Kingsguard.
0:10:48.25,Cyan's city will Spawn an additional Archer.
0:10:48.5,Purples city will spawn an aaaitional berserker
0:10:48.5,Green received a Kingsguard.
0:10:48.5,Cyan's city will Spawn an additional Archer.
0:10:48.75,rurples city Will spawn an
0:10:48.75,Green received a Kingsguard.
0:10:48.75,Cyan's city will Spawn an additional Archer.
0:10:49.0,Purples city wi Spawn an adaitional
0:10:49.0,Green received a Kingsguard.
0:10:49.0,Cyan's city will spawn an additional Archer.
0:10:49.25,Green received a Kingsguard.
0:10:49.25,Cyan's city will Spawn an additional Archer.
0:10:49.5,Green received a Kingsguard.
0:10:49.5,Cyan's city will spawn an additional Archer.
0:10:49.75,Green received a Kingsguard.
0:10:49.75,Cyan's city will spawn an additional Archer.
0:10:50.0,Green received a Kingsguard.
0:10:50.0,Cyan's city will spawn an additional Archer.
0:11:6.0,Kingslayer has been slain by King SaltyBreadFairy III
0:11:17.0,altyBreadFairy Ill has been slain by unnamed marble
0:11:17.75,altyBreadFairy u Ill Ki has has been been slain crowned by unnamed marble
0:11:17.75,u_Ki has been crowned Kinq!
0:11:17.75,Yellow has been aranted an uparade.
0:11:18.0,es Ou eee CaS Ki Pe has ee been ee crowned Oe King! ee
0:11:18.0,Ou Ki has been crowned King!
0:11:18.0,Yellow has been granted an upgrade.
0:11:18.25,Ou Ki has been crowned King!
0:11:18.25,Yellow has been granted an upgrade.
0:11:18.5,Ou Ki has been crowned King!
0:11:18.5,Yellow has been granted an upgrade.
0:11:18.75,Ou Ki nas been crowned King!
0:11:18.75,Ou Ki has been crowned King!
0:11:18.75,Yellow has been granted an upgrade.
0:11:19.0,Ou Ki nas been crowned King:
0:11:19.0,Ou Ki has been crowned King!
0:11:19.0,Yellow has been granted an upgrade.
0:11:19.25,Ou KI Nas been crowned King:
0:11:19.25,Ou Ki has been crowned King!
0:11:19.25,Yellow has been granted an upgrade.
0:11:19.5,Ou KI Nas been crowned King:
0:11:19.5,Ou Ki has been crowned King!
0:11:19.5,Yellow has been granted an upgrade.
0:11:19.75,Ou KI Nas been crowned King:
0:11:19.75,Ou Ki has been crowned King!
0:11:19.75,Yellow has been granted an upgrade.
0:11:20.0,Ou Ki nas been crowned King:
0:11:20.0,Ou Ki has been crowned King!
0:11:20.0,Yellow has been granted an upgrade.
0:11:20.25,Ou KI nas been crowned King:
0:11:20.25,Ou Ki has been crowned King!
0:11:20.25,Yellow has been granted an upgrade.
0:11:20.5,Ou KI Nas been crowned King:
0:11:20.5,Ou Ki has been crowned King!
0:11:20.5,Yellow has been granted an upgrade.
0:11:20.75,Ou KI Nas been crowned King:
0:11:20.75,Ou Ki has been crowned King!
0:11:20.75,Yellow has been granted an upgrade.
0:11:21.0,Ou KI nas been crowned King:
0:11:21.0,Ou Ki has been crowned King!
0:11:21.0,Yellow has been granted an upgrade.
0:11:21.25,Ou KI Nas been crowned King:
0:11:21.25,Ou Ki has been crowned King!
0:11:21.25,Yellow has been granted an upgrade.
0:11:21.5,Ou KI Nas been crowned King:
0:11:21.5,Ou Ki has been crowned King!
0:11:21.5,Yellow has been granted an upgrade.
0:11:21.75,Ou KI Nas been crowned King:
0:11:21.75,Ou Ki has been crowned King!
0:11:21.75,Yellow has been granted an upgrade.
0:11:22.0,Ou KI Nas been crowned King:
0:11:22.0,Ou Ki has been crowned King!
0:11:22.0,Yellow has been granted an upgrade.
0:11:24.0,Ou KI Nas been crowned King:
0:11:24.0,Ou Ki has been crowned King!
0:11:24.0,Yellow has been granted an upgrade.
0:11:26.75,Ou KI Nas been crowned King:
0:11:26.75,Yellow has been granted an upgrade.
0:11:26.75,Yellow's king has become stronger.
0:11:27.0,Ou Ki Nas been crowned KINg!
0:11:27.0,Yellow has been granted an upgrade.
0:11:27.0,Yellow's king has become stronger.
0:12:12.5,fal
0:12:12.5,Cantain Andv IX has leve led un!
0:12:12.75,Taiyo has leveled up!
0:12:12.75,Captain Andy IX has been slain by Taiyo
0:12:13.0,Taiyo has leveled up!
0:12:13.0,Captain Andy IX has been slain by Taiyo
0:12:13.25,Taiyo Dad has hac leveled haan up! nrantad an
0:12:13.25,Captain Andy |X has been slain by Taiyo
0:12:13.5,Taiyo has leveled up!
0:12:13.5,Captain Andy IX has been slain by Taiyo
0:12:13.5,Red has been granted an upgrade.
0:12:13.75,Taiyo has leveled up!
0:12:13.75,Captain Andy IX has been slain by Taiyo
0:12:13.75,Red has been granted an upgrade.
0:12:14.0,Talyo nas leveled up!
0:12:14.0,Captain Andy IX has been slain by Taiyo
0:12:14.0,Red has been granted an upgrade.
0:12:14.25,Nas leveled up:
0:12:14.25,Captain Andy IX has been slain by Taiyo
0:12:14.25,Red has been granted an upgrade.
0:12:14.5,has leveled up:
0:12:14.5,Captain Andy IX has been slain by Taiyo
0:12:14.5,Red has been granted an upgrade.
0:12:14.75,Nas leveled up:
0:12:14.75,Captain Andy IX has been slain by Taiyo
0:12:14.75,Red has been granted an upgrade.
0:12:15.0,Nas leveled up:
0:12:15.0,Captain Andy IX has been slain by Taiyo
0:12:15.0,Red has been granted an upgrade.
0:12:15.25,Nas leveled up:
0:12:15.25,Captain Andy IX has been slain by Taiyo
0:12:15.25,Red has been granted an upgrade.
0:12:15.5,Nas leveled up:
